Order_ID,Order_Date,Order_Time,Customer_ID,Customer_Name,Customer_Email,Customer_Phone,Customer_Age,Customer_Gender,Customer_City,Customer_State,Customer_Country,Customer_Zip,Customer_Segment,Product_Name,Product_Category,SKU,Quantity,Unit_Price_INR,Discount_Percent,Discount_Amount_INR,Tax_Amount_INR,Total_Amount_INR,Payment_Method,Payment_Status,Shipping_Method,Shipping_Cost_INR,Order_Status,Delivery_Date,Days_to_Deliver,Customer_Rating,Customer_Review,Sales_Channel,Referral_Source,First_Time_Customer,Customer_Lifetime_Orders,Marketing_Campaign
ORD-10028,2025-09-22,14:19:09,CUST-5487,Anupama Desai,anupama.desai95@email.com,+91-9371248712,24,Female,Nagpur,Maharashtra,India,440001,Premium,Beardmax Growth Serum (30 ml),Beard Care,BRD-SER-30ML,1,799,5,39.95,113.86,922.91,Debit Card,Completed,Standard,50,Delivered,2025-09-26,4,4,Happy with purchase.,Mobile App,Email Campaign,No,9,Diwali Wellness
ORD-10029,2025-09-30,10:42:33,CUST-5192,Ashok Verma,ashok.verma80@email.com,+91-9243109623,24,Male,Mysore,Karnataka,India,570001,Regular,Beard Growth Kit + Lifestyle Concern,Beard Care - Kits,BRD-GRW-LC,1,2099,10,209.9,283.36,2222.46,Debit Card,Completed,Standard,50,Delivered,2025-10-05,5,4,Satisfied with quality.,Mobile App,Google Ads,Yes,1,Fitness Influencer
ORD-10030,2025-09-06,11:32:40,CUST-5260,Divya Gupta,divya.gupta98@email.com,+91-9600943845,46,Female,Surat,Gujarat,India,395001,Regular,Advance Growmax Topical Solution (60ml),Hair Care - Topicals,AGRW-TOP-60,1,1099,0,0.0,164.85,1363.85,UPI,Completed,Express,100,Delivered,2025-09-13,7,4,Happy with purchase.,Mobile App,Direct,No,16,Winter Prep
ORD-10031,2025-09-07,10:46:21,CUST-5235,Sridevi Chatterjee,sridevi.chatterjee51@email.com,+91-9675223237,26,Female,Pune,Maharashtra,India,411001,Premium,Growmax Topical Solution + Activator (Derma Roller),Hair Care - Kits,GRW-ACT-KIT,1,1399,5,69.95,199.36,1578.41,UPI,Completed,Standard,50,Delivered,2025-09-11,4,4,Satisfied with quality.,Website,Direct,No,15,Premium Protein
ORD-10032,2025-09-07,08:56:40,CUST-5201,Krishna Agarwal,krishna.agarwal50@email.com,+91-9744280653,27,Male,Ludhiana,Punjab,India,141001,Regular,Growmax+ Serum (50ml),Hair Care - Topicals,GRWP-SER-50,1,1299,5,64.95,185.11,1469.16,UPI,Completed,Standard,50,Delivered,2025-09-14,7,4,Good product!,Mobile App,Facebook Ads,No,4,Monsoon Care
ORD-10033,2025-10-03,11:49:50,CUST-5272,Varun Joshi,varun.joshi74@email.com,+91-9099028790,35,Male,Thrissur,Kerala,India,680001,Regular,Stage 1 Hairfall Kit,Hair Care - Kits,HR-STG1-KIT,2,1999,10,399.8,539.73,4237.93,Credit Card,Pending,Express,100,Processing,,,,,Mobile App,Facebook Ads,No,5,Diwali Wellness
ORD-10034,2025-09-12,17:35:15,CUST-5320,Radha Nair,radha.nair69@email.com,+91-9857957019,38,Female,Visakhapatnam,Andhra Pradesh,India,530001,Regular,Biotin Hair Gummies (90N) No Added Sugar,Hair Care - Supplements,BIO-GUM-90N,1,1299,15,194.85,165.62,1369.77,Credit Card,Completed,Express,100,Delivered,2025-09-20,8,5,Love it!,Website,Email Campaign,No,19,Advanced Wellness
ORD-10035,2025-09-25,16:53:35,CUST-5194,Mohan Verma,mohan.verma17@email.com,+91-9193690099,39,Male,Vadodara,Gujarat,India,390001,Regular,Gut Strength Kit,Health Kits,GUT-KIT-001,2,2299,0,0.0,689.7,5387.7,Credit Card,Completed,Express,100,Delivered,2025-09-27,2,5,Outstanding quality!,Website,Organic Search,Yes,1,Fitness September
ORD-10036,2025-09-15,14:16:30,CUST-5145,Vishal Chatterjee,vishal.chatterjee17@email.com,+91-9214244313,40,Male,Delhi,Delhi,India,110001,Regular,Derma Roller with 0.5 mm Replaceable Head,Tools & Accessories,DR-05MM-REP,2,499,10,99.8,134.73,1132.93,Credit Card,Completed,Express,100,Delivered,2025-09-18,3,4,Good value for money.,Mobile App,Google Ads,No,17,Plant Power
ORD-10037,2025-09-21,17:59:52,CUST-5248,Ramesh Nair,ramesh.nair20@email.com,+91-9005649506,29,Male,Kochi,Kerala,India,682001,Premium,NoBloat Gut health Blend,Gut Health,NBL-GUT-001,1,1299,20,259.8,155.88,1245.08,Debit Card,Completed,Standard,50,Delivered,2025-09-25,4,3,Good but not great.,Website,Email Campaign,No,20,Diwali Wellness
ORD-10038,2025-09-30,08:58:06,CUST-5058,Anupama Verma,anupama.verma42@email.com,+91-9397709539,43,Female,Thrissur,Kerala,India,680001,Regular,Scalp Massager (1N),Hair Care - Tools,SCP-MAS-001,1,299,0,0.0,44.85,393.85,Debit Card,Completed,Standard,50,Delivered,2025-10-05,5,5,Amazing product!,Website,Facebook Ads,No,5,Gut Health Focus
ORD-10039,2025-09-23,15:31:30,CUST-5258,Shilpa Reddy,shilpa.reddy49@email.com,+91-9536772931,28,Female,Vadodara,Gujarat,India,390001,Premium,Beard Activator Kit,Beard Care - Kits,BRD-ACT-001,2,1999,5,199.9,569.71,4467.81,UPI,Completed,Express,100,Delivered,2025-09-27,4,3,Good but not great.,Mobile App,Organic Search,No,8,Winter Prep
ORD-10040,2025-09-04,12:02:30,CUST-5430,Kavita Rao,kavita.rao48@email.com,+91-9556248483,38,Female,Thrissur,Kerala,India,680001,Regular,Moderate Dandruff Kit,Hair Care - Kits,MDK-001,2,1499,10,299.8,404.73,3202.93,COD,Completed,Express,100,Delivered,2025-09-10,6,5,Excellent!,Mobile App,Facebook Ads,No,14,Stress Relief
ORD-10041,2025-10-03,09:25:18,CUST-5347,Jaya Kapoor,jaya.kapoor73@email.com,+91-9406431564,27,Female,Rajkot,Gujarat,India,360001,Regular,Beard Development Kit for 22-28,Beard Care - Kits,BRD-DEV-2228,1,2199,10,219.9,296.86,2375.96,COD,Pending,Express,100,Processing,,,,,Mobile App,Youtube,No,10,Clear Skin October
ORD-10042,2025-09-21,13:14:42,CUST-5189,Lavanya Joshi,lavanya.joshi70@email.com,+91-9450093799,44,Female,Ludhiana,Punjab,India,141001,Regular,Dandruff Treatment Kit - Sticky Scales,Hair Care - Kits,DTK-SS-001,1,1799,20,359.8,215.88,1755.08,Debit Card,Completed,Express,100,Delivered,2025-09-24,3,4,Happy with purchase.,Mobile App,Organic Search,No,1,Magnesium Monday
ORD-10043,2025-09-16,10:57:56,CUST-5171,Sneha Iyer,sneha.iyer45@email.com,+91-9444783768,44,Female,Madurai,Tamil Nadu,India,625001,Premium,Blemish Defense Kit| 1x Clean Oil Control Face Wash + 1x CLEAR Blemish Correction Gel,Skin Care - Kits,BLEM-DEF-KIT,2,799,15,239.7,203.74,1612.04,Credit Card,Completed,Standard,50,Delivered,2025-09-22,6,5,Love it!,Website,Organic Search,Yes,1,Health Plus
ORD-10044,2025-09-19,17:39:01,CUST-5489,Ananya Joshi,ananya.joshi87@email.com,+91-9901975144,34,Female,Thrissur,Kerala,India,680001,Regular,Magnesium Glycinate Gummies 60N,Gummies & Supplements,MAG-GLY-60N,1,799,15,119.85,101.87,831.02,COD,Completed,Standard,50,Delivered,2025-09-27,8,3,Decent purchase.,Website,Facebook Ads,No,3,Winter Prep
ORD-10045,2025-09-15,09:16:36,CUST-5337,Vinod Malhotra,vinod.malhotra56@email.com,+91-9029844276,22,Male,Jaipur,Rajasthan,India,302001,Premium,Plant Protein Powder (500 gm),Protein Supplements,PLT-PRO-500,1,1399,20,279.8,167.88,1387.08,Credit Card,Completed,Express,100,Delivered,2025-09-21,6,4,Works well.,Mobile App,Email Campaign,No,7,Fitness Influencer
ORD-10046,2025-09-23,13:58:46,CUST-5073,Divya Nair,divya.nair18@email.com,+91-9115661604,47,Female,Thrissur,Kerala,India,680001,Regular,Anti-Dandruff Shampoo (200 ml),Hair Care - Shampoos,ADS-200ML,1,449,10,44.9,60.62,564.72,UPI,Completed,Express,100,Delivered,2025-09-27,4,4,Satisfied with quality.,Website,Email Campaign,No,12,Diwali Wellness
ORD-10047,2025-10-01,10:25:06,CUST-5462,Swati Singh,swati.singh54@email.com,+91-9483570523,48,Female,Chennai,Tamil Nadu,India,600001,Regular,Stage 2 Hair Regrowth Kit,Hair Care - Kits,HR-STG2-KIT,1,2499,15,374.85,318.62,2542.77,COD,Pending,Express,100,Processing,,,,,Website,Organic Search,Yes,1,Fitness September
ORD-10048,2025-09-30,13:12:59,CUST-5208,Ravi Shah,ravi.shah64@email.com,+91-9855793370,28,Male,Surat,Gujarat,India,395001,Regular,TOSTERO Capsules (60N),Performance Supplements,TST-60CAP,1,1199,5,59.95,170.86,1359.91,Debit Card,Completed,Standard,50,Delivered,2025-10-06,6,5,Highly recommend!,Mobile App,Instagram,No,4,Plant Power
ORD-10049,2025-09-15,11:33:22,CUST-5149,Rahul Patel,rahul.patel64@email.com,+91-9489940744,27,Male,Mumbai,Maharashtra,India,400001,Regular,Whey Protein 1 Kg,Protein Supplements,WHY-1KG-001,1,2499,10,249.9,337.36,2686.46,COD,Completed,Express,100,Delivered,2025-09-22,7,5,Love it!,Mobile App,Organic Search,Yes,1,Diwali Wellness
ORD-10050,2025-10-03,13:57:52,CUST-5473,Mohan Desai,mohan.desai11@email.com,+91-9372947254,37,Male,Vijayawada,Andhra Pradesh,India,520001,Regular,Ashwagandha Gummies for Stress,Gummies & Supplements,ASH-GUM-001,1,899,15,134.85,114.62,928.77,Debit Card,Pending,Standard,50,Processing,,,,,Website,Email Campaign,Yes,1,Fitness September
ORD-10051,2025-09-08,17:12:47,CUST-5298,Anand Reddy,anand.reddy84@email.com,+91-9579265506,39,Male,Thrissur,Kerala,India,680001,Regular,Complete Beard Activator Kit for 18-21 + Genetics Concern,Beard Care - Kits,BRD-ACT-1821,1,2499,5,124.95,356.11,2830.16,UPI,Completed,Express,100,Delivered,2025-09-16,8,4,Satisfied with quality.,Mobile App,Google Ads,No,9,Stress Relief
ORD-10052,2025-09-10,13:22:23,CUST-5090,Kaveri Reddy,kaveri.reddy96@email.com,+91-9875818749,44,Female,Ahmedabad,Gujarat,India,380001,Regular,Hydrolyzed Whey Protein Isolate (Pack of 5),Protein Supplements,HYD-WHY-PK5,1,1999,10,199.9,269.86,2168.96,Credit Card,Completed,Express,100,Delivered,2025-09-18,8,5,Highly recommend!,Mobile App,Google Ads,Yes,1,Monsoon Care
ORD-10053,2025-09-07,12:20:02,CUST-5143,Kaveri Desai,kaveri.desai69@email.com,+91-9098927502,42,Female,Madurai,Tamil Nadu,India,625001,Regular,Clear Skin Pack| 1x Rejuv Face Serum + 1x Derma Roller,Skin Care - Kits,CLR-SKN-PACK,1,1299,10,129.9,175.36,1444.46,Credit Card,Completed,Express,100,Delivered,2025-09-13,6,3,Decent purchase.,Website,Instagram,Yes,1,Wellness Bundle
ORD-10054,2025-09-29,08:08:28,CUST-5470,Manoj Iyer,manoj.iyer53@email.com,+91-9645615522,45,Male,Bangalore,Karnataka,India,560001,Regular,Ashwagandha Gummies for Stress,Gummies & Supplements,ASH-GUM-001,1,899,10,89.9,121.36,1030.47,COD,Completed,Express,100,Delivered,2025-10-02,3,5,Highly recommend!,Mobile App,Organic Search,No,10,Advanced Wellness
ORD-10055,2025-09-10,12:34:06,CUST-5463,Swati Kapoor,swati.kapoor36@email.com,+91-9747208079,25,Female,Thrissur,Kerala,India,680001,Premium,HydraBoost Pack of 15,Hydration Supplements,HYD-BST-15PK,2,899,5,89.9,256.21,2014.31,UPI,Completed,Standard,50,Delivered,2025-09-18,8,4,Good product!,Website,Instagram,No,14,Immunity Boost
ORD-10056,2025-09-29,17:12:32,CUST-5299,Rajesh Kumar,rajesh.kumar63@email.com,+91-9944739731,26,Male,Jaipur,Rajasthan,India,302001,Regular,Scalp Massager (1N),Hair Care - Tools,SCP-MAS-001,1,299,15,44.85,38.12,342.27,Debit Card,Completed,Standard,50,Delivered,2025-10-03,4,4,Good product!,Mobile App,Direct,Yes,1,Clear Skin October
ORD-10057,2025-09-23,17:53:13,CUST-5077,Pooja Mehta,pooja.mehta52@email.com,+91-9903852984,28,Female,Lucknow,Uttar Pradesh,India,226001,Regular,Advanced Anti-Dandruff Shampoo 100 ml,Hair Care - Shampoos,AADS-100ML,2,349,15,104.7,88.99,732.29,Debit Card,Completed,Standard,50,Delivered,2025-09-27,4,4,Works well.,Website,Google Ads,No,15,Advanced Wellness
ORD-10058,2025-09-15,14:49:36,CUST-5222,Sanjay Kumar,sanjay.kumar91@email.com,+91-9320072719,27,Male,Bhopal,Madhya Pradesh,India,462001,Regular,Charcoal Body Wash (750 ml),Body Care - Cleansers,CHR-BW-750ML,1,599,0,0.0,89.85,738.85,Debit Card,Completed,Standard,50,Delivered,2025-09-17,2,4,Happy with purchase.,Website,Email Campaign,No,13,Sleep Better Campaign
ORD-10059,2025-09-26,12:22:05,CUST-5012,Vishal Kumar,vishal.kumar69@email.com,+91-9356884373,26,Male,Bhopal,Madhya Pradesh,India,462001,Premium,Underarm Roll On Deo,Body Care - Hygiene,UND-DEO-001,2,299,0,0.0,89.7,787.7,Credit Card,Completed,Express,100,Delivered,2025-09-30,4,5,Best purchase!,Mobile App,Instagram,No,7,Advanced Wellness
ORD-10060,2025-09-20,16:16:44,CUST-5220,Amit Joshi,amit.joshi73@email.com,+91-9100271641,44,Male,Ahmedabad,Gujarat,India,380001,Regular,Scalp Massager (1N),Hair Care - Tools,SCP-MAS-001,2,299,0,0.0,89.7,737.7,Debit Card,Completed,Standard,50,Delivered,2025-09-23,3,5,Outstanding quality!,Website,Instagram,No,14,Diwali Wellness
ORD-10061,2025-10-02,11:39:05,CUST-5121,Rekha Sharma,rekha.sharma44@email.com,+91-9420612782,40,Female,Pune,Maharashtra,India,411001,Premium,Anti-Dandruff Shampoo (200 ml),Hair Care - Shampoos,ADS-200ML,2,449,5,44.9,127.97,1031.07,UPI,Pending,Standard,50,Processing,,,,,Mobile App,Instagram,Yes,1,Immunity Boost
ORD-10062,2025-09-10,16:39:00,CUST-5200,Radha Verma,radha.verma16@email.com,+91-9763733592,22,Female,Jaipur,Rajasthan,India,302001,Regular,Complete Endurance Kit| 1x Endure Spray + 1x Tostero Capsules,Performance Kits,END-KIT-COMP,1,1899,0,0.0,284.85,2233.85,UPI,Completed,Standard,50,Delivered,2025-09-16,6,4,Satisfied with quality.,Website,Facebook Ads,No,6,Gut Health Focus
ORD-10063,2025-10-02,12:29:06,CUST-5342,Naveen Malhotra,naveen.malhotra12@email.com,+91-9804494151,24,Male,Pune,Maharashtra,India,411001,Regular,Advance Magnesium Care,Body Care,ADV-MAG-001,1,999,10,99.9,134.87,1133.97,Credit Card,Pending,Express,100,Processing,,,,,Mobile App,Direct,No,19,Fitness September
ORD-10064,2025-09-29,17:27:16,CUST-5349,Arjun Patel,arjun.patel82@email.com,+91-9480531742,29,Male,Kochi,Kerala,India,682001,Regular,Beard Activator Kit,Beard Care - Kits,BRD-ACT-001,2,1999,0,0.0,599.7,4697.7,COD,Completed,Express,100,Delivered,2025-10-03,4,3,Good but not great.,Mobile App,Organic Search,No,7,Wellness Bundle
ORD-10065,2025-09-15,08:07:11,CUST-5164,Sarala Singh,sarala.singh78@email.com,+91-9731693267,28,Female,Lucknow,Uttar Pradesh,India,226001,Regular,Creatine Monohydrate (150g - Unflavoured),Creatine Supplements,CRE-UNF-150G,2,599,15,179.7,152.74,1271.04,Debit Card,Completed,Express,100,Delivered,2025-09-22,7,5,Love it!,Mobile App,Instagram,Yes,1,Gut Health Focus
ORD-10066,2025-09-29,10:33:55,CUST-5472,Sridevi Chatterjee,sridevi.chatterjee11@email.com,+91-9346049693,35,Female,Indore,Madhya Pradesh,India,452001,Regular,Beard Development Kit for 22-28,Beard Care - Kits,BRD-DEV-2228,1,2199,0,0.0,329.85,2628.85,UPI,Completed,Express,100,Delivered,2025-10-02,3,4,Happy with purchase.,Website,Youtube,No,11,Immunity Boost
ORD-10067,2025-09-12,09:09:56,CUST-5255,Rajesh Iyer,rajesh.iyer56@email.com,+91-9439245653,31,Male,Varanasi,Uttar Pradesh,India,221001,Regular,Biotin Hair Gummies (30N) No Added Sugar,Hair Care - Supplements,BIO-GUM-30N,1,599,0,0.0,89.85,738.85,UPI,Completed,Standard,50,Delivered,2025-09-19,7,4,Happy with purchase.,Website,Facebook Ads,Yes,1,Winter Prep
